"Location Properties"
"Location Name = Pressure Transducer"
"Location ID = 5679063059922944"
"Latitude = 37.24039316383645 °"
"Longitude = -80.4825972028528 °"
"Time shown in UTC"
""
""
"Date Time","Depth (m)","Pressure (cm H₂O)","Temperature (C)"
"2020-04-29 09:00:00.000","9.820656","992.7342445539518","10.29"
"2020-04-29 09:15:00.000","9.820656","992.7342445539518","10.32"
"2020-04-29 09:30:00.000","9.820656","992.7342445539518","10.36"
"2020-04-29 09:45:00.000","9.814560000000002","992.0311749756559","10.4"
"2020-04-29 10:00:00.000","9.811512","992.0311749756559","10.45"
"2020-04-29 10:15:00.000","9.808464","991.3281053973599","10.5"
"2020-04-29 10:30:00.000","9.802368","991.3281053973599","10.56"
"2020-04-29 10:45:00.000","9.79932","990.6250358190639","10.63"
"2020-04-29 11:00:00.000","9.796272","990.6250358190639","10.72"
"2020-04-29 11:15:00.000","9.796272","990.6250358190639","10.81"
"2020-04-29 11:30:00.000","9.790175999999999","990.6250358190639","10.93"
"2020-04-29 11:45:00.000","9.787128000000001","990.6250358190639","11.05"
"2020-04-29 12:00:00.000","9.784080000000001","990.6250358190639","11.2"
"2020-04-29 12:15:00.000","9.781032000000002","989.9219662407679","11.35"
"2020-04-29 12:30:00.000","9.781032000000002","989.9219662407679","11.49"
"2020-04-29 12:45:00.000","9.781032000000002","990.6250358190639","11.64"
"2020-04-29 13:00:00.000","9.777984","989.9219662407679","11.8"
"2020-04-29 13:15:00.000","9.777984","990.6250358190639","11.95"
"2020-04-29 13:30:00.000","9.774936","990.6250358190639","12.1"
"2020-04-29 13:45:00.000","9.774936","990.6250358190639","12.23"
"2020-04-29 14:00:00.000","9.774936","990.6250358190639","12.35"
"2020-04-29 14:15:00.000","9.771888","989.9219662407679","12.43"
"2020-04-29 14:30:00.000","9.771888","989.9219662407679","12.49"
"2020-04-29 14:45:00.000","9.768839999999999","989.9219662407679","12.54"
"2020-04-29 15:00:00.000","9.765792","989.9219662407679","12.57"
"2020-04-29 15:15:00.000","9.768839999999999","989.9219662407679","12.57"
"2020-04-29 15:30:00.000","9.762744000000001","989.2188966624719","12.56"
"2020-04-29 15:45:00.000","9.759696000000002","988.515827084176","12.54"
"2020-04-29 16:00:00.000","9.759696000000002","988.515827084176","12.52"
"2020-04-29 16:15:00.000","9.756648","988.515827084176","12.5"
"2020-04-29 16:30:00.000","9.7536","987.81275750588","12.49"
"2020-04-29 16:45:00.000","9.750552","987.81275750588","12.47"
"2020-04-29 17:00:00.000","9.7536","987.81275750588","12.45"
"2020-04-29 17:15:00.000","9.747504000000001","987.81275750588","12.44"
"2020-04-29 17:30:00.000","9.747504000000001","987.1096879275839","12.42"
"2020-04-29 17:45:00.000","9.744456","987.1096879275839","12.41"
"2020-04-29 18:00:00.000","9.741408000000002","987.1096879275839","12.39"
"2020-04-29 18:15:00.000","9.73836","986.4066183492879","12.37"
"2020-04-29 18:30:00.000","9.741408000000002","986.4066183492879","12.36"
"2020-04-29 18:45:00.000","9.73836","986.4066183492879","12.35"
